NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_PEPTIDYL_THREONINE_MODIFICATION	GOBP_PEPTIDYL_THREONINE_MODIFICATION		42	-0.31226596	-1.2513307	0.1439206	0.45854747	1.0	1402	tags=19%, list=9%, signal=21%	
HP_APLASIA_HYPOPLASIA_OF_FINGERS	HP_APLASIA_HYPOPLASIA_OF_FINGERS		324	-0.2243154	-1.2510068	0.06390978	0.4590216	1.0	2506	tags=22%, list=17%, signal=26%	
HP_NEOPLASM_OF_THE_THYROID_GLAND	HP_NEOPLASM_OF_THE_THYROID_GLAND		50	-0.30234256	-1.2510023	0.115485564	0.4586191	1.0	2777	tags=30%, list=18%, signal=37%	
GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION	GOBP_NEGATIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_PROTEIN_KINASE_B_SIGNAL_TRANSDUCTION		51	-0.2997508	-1.2508472	0.13930348	0.45859003	1.0	3466	tags=41%, list=23%, signal=53%	
HP_INVOLUNTARY_VOCALIZATION	HP_INVOLUNTARY_VOCALIZATION		47	-0.3081485	-1.2507049	0.1407767	0.45855963	1.0	3597	tags=32%, list=24%, signal=42%	
HP_HYPOPIGMENTATION_OF_THE_SKIN	HP_HYPOPIGMENTATION_OF_THE_SKIN		177	-0.24102233	-1.249859	0.055248618	0.46027875	1.0	3870	tags=33%, list=26%, signal=44%	
GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS		98	-0.2615357	-1.2497861	0.084033616	0.46005982	1.0	2880	tags=26%, list=19%, signal=31%	
GOMF_PROTEIN_CARRIER_CHAPERONE	GOMF_PROTEIN_CARRIER_CHAPERONE		41	-0.3139786	-1.2495648	0.13231552	0.46018443	1.0	4750	tags=46%, list=31%, signal=67%	
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION	GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION		52	-0.30212036	-1.2494582	0.12619048	0.4600509	1.0	5010	tags=52%, list=33%, signal=77%	
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION	GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION		30	-0.3423639	-1.2492447	0.14111923	0.46021158	1.0	2654	tags=33%, list=18%, signal=40%	
HP_DEMENTIA	HP_DEMENTIA		185	-0.23731045	-1.2489648	0.039513677	0.46048868	1.0	3722	tags=29%, list=25%, signal=38%	
GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER	GOBP_PROTEIN_LOCALIZATION_TO_MICROTUBULE_ORGANIZING_CENTER		33	-0.33355686	-1.2489115	0.15973742	0.46019217	1.0	3507	tags=30%, list=23%, signal=39%	
