NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_VASCULAR_WOUND_HEALING	GOBP_VASCULAR_WOUND_HEALING		17	0.26853356	0.8034371	0.7312391	0.997794	1.0	951	tags=18%, list=6%, signal=19%	
HP_WADDLING_GAIT	HP_WADDLING_GAIT		110	0.17742878	0.80296296	0.8816388	0.99839866	1.0	3944	tags=27%, list=26%, signal=37%	
GOBP_LIPOPROTEIN_METABOLIC_PROCESS	GOBP_LIPOPROTEIN_METABOLIC_PROCESS		69	0.19407028	0.8020077	0.81832546	0.9998641	1.0	1400	tags=14%, list=9%, signal=16%	
HP_ABNORMAL_PITUITARY_GLAND_MORPHOLOGY	HP_ABNORMAL_PITUITARY_GLAND_MORPHOLOGY		285	0.15689655	0.8019501	0.93688637	0.99966747	1.0	3593	tags=24%, list=24%, signal=30%	
GOCC_COP9_SIGNALOSOME	GOCC_COP9_SIGNALOSOME		31	0.230869	0.80184907	0.74864376	0.9995393	1.0	3545	tags=26%, list=23%, signal=34%	
HP_ANORECTAL_ANOMALY	HP_ANORECTAL_ANOMALY		137	0.17231171	0.80170196	0.8878648	0.9995102	1.0	1576	tags=12%, list=10%, signal=13%	
HP_VASCULAR_CALCIFICATION	HP_VASCULAR_CALCIFICATION		20	0.25365457	0.8015837	0.75272727	0.9994278	1.0	3451	tags=35%, list=23%, signal=45%	
GOBP_GLOMERULUS_DEVELOPMENT	GOBP_GLOMERULUS_DEVELOPMENT		65	0.19480789	0.80066895	0.8380165	1.0	1.0	3203	tags=26%, list=21%, signal=33%	
HP_ABNORMALITY_OF_THE_TARSAL_BONES	HP_ABNORMALITY_OF_THE_TARSAL_BONES		124	0.1738643	0.80022925	0.8945022	1.0	1.0	3013	tags=19%, list=20%, signal=23%	
HP_ABNORMAL_CLAVICLE_MORPHOLOGY	HP_ABNORMAL_CLAVICLE_MORPHOLOGY		106	0.17779824	0.7990923	0.88294315	1.0	1.0	4822	tags=32%, list=32%, signal=47%	
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT	GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT		20	0.25284123	0.79882103	0.732852	1.0	1.0	3835	tags=40%, list=25%, signal=54%	
