"gene","Gene name","log2FoldChange","padj"
"ENSG00000186487","MYT1L",-4.67102351422959e-07,0.80894878212039
"ENSG00000158019","BABAM2",7.86436634650516e-07,0.972459274570127
"ENSG00000115295","CLIP4",9.08002374476902e-07,0.942486882645023
"ENSG00000115841","RMDN2",3.76122959813872e-06,0.391834339293893
"ENSG00000163214","DHX57",-1.08298188943344e-05,0.525728203260213
"ENSG00000138032","PPM1B",3.48158500465459e-06,0.795394093646599
"ENSG00000068781","STON1-GTF2A1L",8.6247740749064e-07,0.797773741878501
"ENSG00000014641","MDH1",4.20777255573517e-06,0.810594721537622
"ENSG00000169604","ANTXR1",-6.57324128122334e-06,0.242967877245382
"ENSG00000115977","AAK1",-9.37329811920167e-06,0.849504529017961
"ENSG00000115282","TTC31",-3.30487818535053e-06,0.865917298000238
"ENSG00000135976","ANKRD36",-2.13484981321542e-06,0.958170708017985
"ENSG00000144218","AFF3",8.29747793507567e-07,0.832546160410922
"ENSG00000153093","ACOXL",6.79060784262209e-07,0.546503216193237
"ENSG00000074054","CLASP1",-6.39739548393226e-06,0.426240497130879
"ENSG00000183091","NEB",1.53908740340983e-06,0.63892976690323
"ENSG00000196504","PRPF40A",1.1196337835211e-05,0.664044652477493
"ENSG00000153250","RBMS1",1.34236926187322e-06,0.889392552707126
"ENSG00000123600","METTL8",-9.67160582076032e-07,0.957132290079378
"ENSG00000115415","STAT1",3.58254005942047e-06,0.666928856486413
"ENSG00000003402","CFLAR",2.10851008117969e-05,0.911716636102038
"ENSG00000115414","FN1",-1.19546379634718e-07,0.970576886670208
"ENSG00000079308","TNS1",-6.56739104306724e-07,0.904138699983351
"ENSG00000135905","DOCK10",-2.28778494128788e-06,0.657953618799055
"ENSG00000169031","COL4A3",1.46421017428097e-07,0.971465423833633
"ENSG00000168958","MFF",-1.63242489146119e-05,0.347528807167657
"ENSG00000150995","ITPR1",6.96155809000497e-07,0.917858226675494
"ENSG00000163702","IL17RC",5.79553028276814e-06,0.263781060456402
"ENSG00000114650","SCAP",2.21527972353994e-06,0.937178187368798
"ENSG00000172046","USP19",-3.27976795566246e-06,0.915856961048997
"ENSG00000163689","CFAP20DC",4.48072951535724e-07,0.781501082422509
"ENSG00000169855","ROBO1",-1.55829288826361e-06,0.724506576948883
"ENSG00000144824","PHLDB2",5.15237893979984e-07,0.916027143390146
"ENSG00000163848","ZNF148",-3.4894776579991e-05,0.720048798194675
"ENSG00000113971","NPHP3",9.42547950351323e-07,0.947161918722958
"ENSG00000168779","SHOX2",1.42685262535272e-07,0.987369060933102
"ENSG00000178053","MLF1",1.18742359595873e-06,0.786946063962196
"ENSG00000118855","MFSD1",-1.55242682987891e-06,0.942527956026181
"ENSG00000061938","TNK2",-3.6585519529528e-06,0.548541351439421
"ENSG00000075711","DLG1",1.15307712041783e-07,0.993226172304747
"ENSG00000013810","TACC3",-2.94307080411084e-07,0.982546880697462
"ENSG00000152969","JAKMIP1",2.04176472121896e-07,NA
"ENSG00000145362","ANK2",2.55471383686367e-06,0.541115415276334
"ENSG00000109381","ELF2",-9.41101277383629e-07,0.968873013929342
"ENSG00000113504","SLC12A7",3.16474965337734e-06,0.150750053344164
"ENSG00000164362","TERT",3.82443873250921e-07,0.922347584796071
"ENSG00000169862","CTNND2",-1.6445494191619e-06,0.958112953249135
"ENSG00000082196","C1QTNF3",-1.46064653660093,0.0923936679735415
"ENSG00000112936","C7",6.68965701834509e-07,0.758705929467986
