NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HOQUE_METHYLATED_IN_CANCER	HOQUE_METHYLATED_IN_CANCER		44	-0.25324038	-0.99823904	0.48218527	0.76101565	1.0	2462	tags=27%, list=16%, signal=32%	
HOEBEKE_LYMPHOID_STEM_CELL_UP	HOEBEKE_LYMPHOID_STEM_CELL_UP		85	-0.21738017	-0.99797404	0.45547074	0.7612788	1.0	4077	tags=38%, list=27%, signal=51%	
REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM		75	-0.22317293	-0.9979011	0.4574468	0.760927	1.0	4391	tags=36%, list=29%, signal=50%	
REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS		28	-0.27702904	-0.99788135	0.46330276	0.7604043	1.0	2536	tags=21%, list=17%, signal=26%	
REACTOME_GABA_B_RECEPTOR_ACTIVATION	REACTOME_GABA_B_RECEPTOR_ACTIVATION		38	-0.2537465	-0.99743015	0.46713614	0.76123714	1.0	1574	tags=18%, list=10%, signal=21%	
MORI_PLASMA_CELL_DN	MORI_PLASMA_CELL_DN		29	-0.28028318	-0.99742085	0.45454547	0.7606861	1.0	985	tags=17%, list=7%, signal=18%	
BROWNE_HCMV_INFECTION_48HR_DN	BROWNE_HCMV_INFECTION_48HR_DN		381	-0.17610618	-0.9969292	0.4474708	0.76167595	1.0	3166	tags=24%, list=21%, signal=29%	
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS		81	-0.2180855	-0.99646914	0.43828714	0.76254535	1.0	4317	tags=36%, list=29%, signal=50%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		58	-0.23196477	-0.9957116	0.44951922	0.76440173	1.0	4792	tags=47%, list=32%, signal=68%	
KEGG_HEDGEHOG_SIGNALING_PATHWAY	KEGG_HEDGEHOG_SIGNALING_PATHWAY		48	-0.24034469	-0.9954196	0.46300715	0.7647832	1.0	2916	tags=31%, list=19%, signal=39%	
BIOCARTA_FAS_PATHWAY	BIOCARTA_FAS_PATHWAY		26	-0.2824598	-0.9949927	0.45754716	0.7655754	1.0	972	tags=19%, list=6%, signal=21%	
PID_HNF3A_PATHWAY	PID_HNF3A_PATHWAY		32	-0.26442593	-0.99470776	0.46875	0.7658951	1.0	2880	tags=28%, list=19%, signal=35%	
WP_RAC1PAK1P38MMP2_PATHWAY	WP_RAC1PAK1P38MMP2_PATHWAY		58	-0.23349208	-0.9940527	0.45789474	0.76742	1.0	2687	tags=19%, list=18%, signal=23%	
MANALO_HYPOXIA_DN	MANALO_HYPOXIA_DN		271	-0.18187045	-0.99403745	0.47857141	0.7668898	1.0	4273	tags=28%, list=28%, signal=38%	
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES		18	-0.31284076	-0.99351054	0.4740566	0.76793575	1.0	4706	tags=50%, list=31%, signal=73%	
PID_AP1_PATHWAY	PID_AP1_PATHWAY		52	-0.23677577	-0.9933958	0.4772182	0.76772577	1.0	3634	tags=31%, list=24%, signal=40%	
WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION	WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION		43	-0.2506332	-0.9931643	0.46212122	0.76785034	1.0	3699	tags=37%, list=24%, signal=49%	
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1		22	-0.29309136	-0.993113	0.45652175	0.7674279	1.0	4885	tags=55%, list=32%, signal=80%	
REACTOME_NEDDYLATION	REACTOME_NEDDYLATION		206	-0.18595277	-0.9929525	0.46325877	0.76736	1.0	3296	tags=22%, list=22%, signal=28%	
REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE	REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE		15	-0.32340577	-0.99288636	0.43362832	0.7670004	1.0	4760	tags=60%, list=32%, signal=88%	
SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_DN	SMID_BREAST_CANCER_RELAPSE_IN_PLEURA_DN		20	-0.308635	-0.99255854	0.45833334	0.7674732	1.0	1023	tags=15%, list=7%, signal=16%	
WIERENGA_PML_INTERACTOME	WIERENGA_PML_INTERACTOME		36	-0.2591529	-0.9923371	0.4562334	0.7675992	1.0	3719	tags=28%, list=25%, signal=37%	
REACTOME_RHO_GTPASES_ACTIVATE_CIT	REACTOME_RHO_GTPASES_ACTIVATE_CIT		16	-0.3179317	-0.99209386	0.46067417	0.7678216	1.0	907	tags=19%, list=6%, signal=20%	
KEGG_MELANOMA	KEGG_MELANOMA		59	-0.22916616	-0.9919189	0.45363408	0.76778215	1.0	3068	tags=24%, list=20%, signal=30%	
HUTTMANN_B_CLL_POOR_SURVIVAL_DN	HUTTMANN_B_CLL_POOR_SURVIVAL_DN		49	-0.23840444	-0.99171007	0.45812806	0.76785225	1.0	2552	tags=27%, list=17%, signal=32%	
MALONEY_RESPONSE_TO_17AAG_DN	MALONEY_RESPONSE_TO_17AAG_DN		73	-0.21848133	-0.99121904	0.4593176	0.76891434	1.0	3864	tags=32%, list=26%, signal=42%	
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS		121	-0.19962718	-0.99109703	0.45614034	0.7687223	1.0	3400	tags=28%, list=23%, signal=36%	
BIOCARTA_GCR_PATHWAY	BIOCARTA_GCR_PATHWAY		15	-0.32467818	-0.991012	0.4594017	0.7684039	1.0	1167	tags=13%, list=8%, signal=14%	
WP_DRAVET_SYNDROME	WP_DRAVET_SYNDROME		23	-0.28761625	-0.99076164	0.47629312	0.7686033	1.0	2440	tags=22%, list=16%, signal=26%	
WANG_RESPONSE_TO_FORSKOLIN_UP	WANG_RESPONSE_TO_FORSKOLIN_UP		19	-0.30344817	-0.9899328	0.47391304	0.77064145	1.0	694	tags=16%, list=5%, signal=17%	
MALTA_CURATED_STEMNESS_MARKERS	MALTA_CURATED_STEMNESS_MARKERS		16	-0.3191892	-0.98972774	0.46559632	0.7706939	1.0	2305	tags=25%, list=15%, signal=29%	
FIRESTEIN_PROLIFERATION	FIRESTEIN_PROLIFERATION		147	-0.1952843	-0.9896142	0.465625	0.7704581	1.0	2703	tags=20%, list=18%, signal=25%	
HEBERT_MATRISOME_TNBC_BRAIN_METASTASIS	HEBERT_MATRISOME_TNBC_BRAIN_METASTASIS		22	-0.29004672	-0.98942447	0.43691587	0.7704838	1.0	1614	tags=23%, list=11%, signal=25%	
REACTOME_SIGNALING_BY_NOTCH2	REACTOME_SIGNALING_BY_NOTCH2		32	-0.26403514	-0.9893595	0.4425428	0.77012026	1.0	3225	tags=34%, list=21%, signal=44%	
REACTOME_SIGNALING_BY_FGFR2	REACTOME_SIGNALING_BY_FGFR2		65	-0.2275538	-0.9891606	0.496	0.77016324	1.0	1236	tags=14%, list=8%, signal=15%	
MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_UP	MARIADASON_REGULATED_BY_HISTONE_ACETYLATION_UP		54	-0.23628375	-0.9885024	0.47524753	0.77166396	1.0	4300	tags=39%, list=28%, signal=54%	
BENPORATH_OCT4_TARGETS	BENPORATH_OCT4_TARGETS		274	-0.1802981	-0.98753834	0.5143885	0.77410954	1.0	4519	tags=34%, list=30%, signal=48%	
WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING	WP_AMPACTIVATED_PROTEIN_KINASE_SIGNALING		47	-0.2468266	-0.98734117	0.48232323	0.7741184	1.0	3550	tags=34%, list=23%, signal=44%	
REACTOME_SIGNALING_BY_ERBB2	REACTOME_SIGNALING_BY_ERBB2		45	-0.24467763	-0.9871478	0.4613583	0.7741432	1.0	2687	tags=24%, list=18%, signal=30%	
WP_THYROXINE_THYROID_HORMONE_PRODUCTION	WP_THYROXINE_THYROID_HORMONE_PRODUCTION		23	-0.28548056	-0.98707956	0.4580499	0.77375937	1.0	3068	tags=30%, list=20%, signal=38%	
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING		18	-0.31877926	-0.9869273	0.48441246	0.7736329	1.0	1510	tags=22%, list=10%, signal=25%	
KYNG_DNA_DAMAGE_BY_4NQO_OR_UV	KYNG_DNA_DAMAGE_BY_4NQO_OR_UV		57	-0.23391034	-0.98645633	0.47560975	0.77455753	1.0	1887	tags=19%, list=12%, signal=22%	
IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP	IIZUKA_LIVER_CANCER_PROGRESSION_G2_G3_UP		23	-0.2936699	-0.98623645	0.4554217	0.774626	1.0	3257	tags=39%, list=22%, signal=50%	
KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY	KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY		27	-0.27385852	-0.98605895	0.45363408	0.77459806	1.0	2715	tags=19%, list=18%, signal=23%	
REACTOME_RECYCLING_PATHWAY_OF_L1	REACTOME_RECYCLING_PATHWAY_OF_L1		38	-0.25405696	-0.9860457	0.45433256	0.7740573	1.0	3110	tags=34%, list=21%, signal=43%	
STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA	STEIN_ESTROGEN_RESPONSE_NOT_VIA_ESRRA		16	-0.3196807	-0.9855879	0.4766147	0.7749423	1.0	2068	tags=31%, list=14%, signal=36%	
